0,77
1,60
2,68
3,43
4,37
5,125
6,30
7,45
8,76
9,39
10,49
11,41
12,43
13,46
14,100
15,103
16,29
17,22
18,46
19,60
20,78
21,22
22,75
23,74
24,82
25,46
26,91
27,47
28,34
29,61
30,32
31,27
32,72
33,31
34,29
35,54
36,143
37,89
38,38
39,103
40,57
41,50
42,123
43,39
44,90
45,38
46,56
47,79
48,34
49,37
50,51
51,26
52,30
53,65
54,42
55,31
56,57
57,40
58,63
59,58
60,32
61,30
62,48
63,55
64,47
65,75
66,105
67,112
68,60
69,71
70,57
71,47
72,78
73,39
74,46
75,29
76,39
77,83
78,94
79,41
80,31
81,95
82,47
83,41
84,54
85,33
86,71
87,53
88,48
89,52
90,36
91,38
92,47
93,55
94,29
95,44
96,78
97,36
98,23
99,34
100,39
101,69
102,40
103,33
104,36
105,29
106,93
107,69
108,35
109,61
110,80
111,33
112,39
113,27
114,96
115,58
116,28
117,112
118,30
119,57
120,49
121,33
122,48
123,55
124,47
125,42
126,75
127,21
128,37
129,79
130,49
131,59
132,80
133,32
134,36
135,90
136,33
137,33
138,44
139,21
140,54
141,47
142,28
143,23
144,48
145,46
146,183
147,70
148,43
149,83
150,25
151,54
152,32
153,87
154,24
155,127
156,51
157,33
158,119
159,60
160,129
161,80
162,24
163,23
164,54
165,62
166,80
167,45
168,44
169,65
170,64
171,29
172,83
173,51
174,28
175,147
176,42
177,68
178,42
179,136
180,64
181,51
182,78
183,38
184,29
185,32
186,49
187,58
188,50
189,58
190,26
191,42
192,77
193,37
194,32
195,64
196,28
197,20
198,42
199,29
200,49
201,50
202,26
203,32
204,39
205,69
206,61
207,69
208,42
209,50
210,68
211,20
212,106
213,43
214,49
215,86
216,39
217,53
218,24
219,51
220,38
221,41
222,43
223,27
224,53
225,44
226,90
227,38
228,38
229,43
230,40
231,30
232,148
233,39
234,23
235,128
236,42
237,51
238,40
239,29
240,111
241,29
242,43
243,80
244,56
245,31
246,34
247,38
248,25
249,29
250,22
251,28
252,66
253,56
254,38
255,21
256,54
257,32
258,25
259,114
260,87
261,60
262,95
263,69
264,50
265,69
266,108
267,27
268,23
269,98
270,61
271,154
272,41
273,53
274,38
275,49
276,81
277,156
278,128
279,34
280,21
281,23
282,39
283,38
284,99
285,37
286,109
287,164
288,37
289,41
290,141
291,41
292,47
293,54
294,64
295,20
296,61
297,49
298,107
299,46
300,26
301,52
302,29
303,19
304,103
305,82
306,83
307,94
308,32
309,89
310,29
311,97
312,36
313,52
314,26
315,81
316,72
317,30
318,36
319,40
320,34
321,63
322,41
323,22
324,80
325,83
326,101
327,156
328,22
329,42
330,19
331,26
332,47
333,58
334,34
335,41
336,107
337,40
338,57
339,119
340,52
341,126
342,48
343,19
344,37
345,64
346,54
347,50
348,51
349,88
350,23
351,27
352,200
353,34
354,47
355,200
356,200
357,39
358,55
359,171
360,23
361,116
362,36
363,38
364,200
365,146
366,141
367,200
368,28
369,77
370,195
371,37
372,36
373,66
374,145
375,36
376,38
377,24
378,86
379,62
380,96
381,37
382,40
383,200
384,37
385,123
386,86
387,200
388,25
389,54
390,45
391,45
392,69
393,63
394,51
395,74
396,86
397,35
398,24
399,58
400,20
401,35
402,31
403,67
404,43
405,29
406,100
407,48
408,46
409,57
410,110
411,89
412,35
